0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:01:36 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:01:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:01:51 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:02:37 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:02:37 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:00 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:09 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:35 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:45 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:47 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:04:48 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:18:05:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 936
